PUBCHEM_CID_ASSOCIATIONS,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_EXT_SUBSTANCE_URL,SMILES
75341  1,"3-Bromo-4-hydroxybenzonitrile
2315-86-8",75341,http://www.chemfish.co.jp/index.php?id=6162&project=product,N#Cc1ccc(O)c(Br)c1
123579  1,"3-Bromo-4-fluorobenzonitrile
79630-23-2",123579,http://www.chemfish.co.jp/index.php?id=6161&project=product,N#Cc1ccc(F)c(Br)c1
10608925  1,"5-Bromo-2-chlorobenzaldehyde
189628-37-3",10608925,http://www.chemfish.co.jp/index.php?id=6160&project=product,O=Cc1cc(Br)ccc1Cl
70135  1,"4'-Hydroxy-3'-methylacetophenone
876-02-8",70135,http://www.chemfish.co.jp/index.php?id=6159&project=product,CC(=O)c1ccc(O)c(C)c1
387179  1,"2-Bromo-5-hydroxybenzaldehyde
2973-80-0",387179,http://www.chemfish.co.jp/index.php?id=6158&project=product,O=Cc1cc(O)ccc1Br
123170  1,"1-Bromo-3-ethylbenzene
2725-82-8",123170,http://www.chemfish.co.jp/index.php?id=6157&project=product,CCc1cccc(Br)c1
28487  1,"1,2-Benzenediol, 4-bromo-
17345-77-6",28487,http://www.chemfish.co.jp/index.php?id=6156&project=product,Oc1ccc(Br)cc1O
13524042  1,"Benzaldehyde, 2-bromo-6-chloro-
64622-16-8",13524042,http://www.chemfish.co.jp/index.php?id=6155&project=product,O=Cc1c(Cl)cccc1Br
2736799  1,"Methyl 4-amino-3-methylbenzoate
18595-14-7",2736799,http://www.chemfish.co.jp/index.php?id=6153&project=product,COC(=O)c1ccc(N)c(C)c1
7018254  1,"4-BROMO-3-METHOXYANILINE
19056-40-7",7018254,http://www.chemfish.co.jp/index.php?id=6682&project=product,COc1cc(N)ccc1Br
15312  1,"1,?2-?Benzenedicarboxylic acid, 4-?fluoro-
320-97-8",15312,http://www.chemfish.co.jp/index.php?id=6151&project=product,O=C(O)c1ccc(F)cc1C(=O)O
75399  1,"5-Fluoro-2-nitroaniline
2369-11-1",75399,http://www.chemfish.co.jp/index.php?id=6150&project=product,Nc1cc(F)ccc1[N+](=O)[O-]
95991  1,"5-Bromo-2-hydroxyacetophenone
1450-75-5",95991,http://www.chemfish.co.jp/index.php?id=6149&project=product,CC(=O)c1cc(Br)ccc1O
288657  1,"4-Methoxy-2-nitrobenzoic acid
33844-21-2",288657,http://www.chemfish.co.jp/index.php?id=6148&project=product,COc1ccc(C(=O)O)c([N+](=O)[O-])c1
96828  1,"3-Fluoro-4-methoxyacetophenone
455-91-4",96828,http://www.chemfish.co.jp/index.php?id=6147&project=product,COc1ccc(C(C)=O)cc1F
20902  1,"3-Chloro-2-nitrobenzoic acid
4771-47-5",20902,http://www.chemfish.co.jp/index.php?id=6146&project=product,O=C(O)c1cccc(Cl)c1[N+](=O)[O-]
66581  1,"2,3-Dimethoxybenzaldehyde
86-51-1",66581,http://www.chemfish.co.jp/index.php?id=6145&project=product,COc1cccc(C=O)c1OC
587090  1,"Benzaldehyde, 5-fluoro-2-nitro-
395-81-3",587090,http://www.chemfish.co.jp/index.php?id=6144&project=product,O=Cc1cc(F)ccc1[N+](=O)[O-]
13540069  1,"Benzaldehyde, 2,5-dibromo-
74553-29-0",13540069,http://www.chemfish.co.jp/index.php?id=6143&project=product,O=Cc1cc(Br)ccc1Br
345381  1,"1,2-Benzenedicarboxylic acid, 3-fluoro-
1583-67-1",345381,http://www.chemfish.co.jp/index.php?id=6142&project=product,O=C(O)c1cccc(F)c1C(=O)O
70110  1,"Benzenamine, 2-bromo-4-chloro-
873-38-1",70110,http://www.chemfish.co.jp/index.php?id=6141&project=product,Nc1ccc(Cl)cc1Br
15165443  1,"4-Bromo-3-fluorobenzonitrile
133059-44-6",15165443,http://www.chemfish.co.jp/index.php?id=6140&project=product,N#Cc1ccc(Br)c(F)c1
302931  1,2-Fluoro-3-chlorobenzoic acid,302931,http://www.chemfish.co.jp/index.php?id=7101&project=product,O=C(O)c1cccc(Cl)c1F
688296  1,"2-Bromo-4-trifluoromethoxyaniline
175278-17-8",688296,http://www.chemfish.co.jp/index.php?id=6138&project=product,Nc1ccc(OC(F)(F)F)cc1Br
81110  1,"Benzene, 4-chloro-2-methoxy-1-nitro-
6627-53-8",81110,http://www.chemfish.co.jp/index.php?id=6137&project=product,COc1cc(Cl)ccc1[N+](=O)[O-]
73710  1,"Phenol, 2-fluoro-6-nitro-
1526-17-6",73710,http://www.chemfish.co.jp/index.php?id=6136&project=product,O=[N+]([O-])c1cccc(F)c1O
823934  1,"Benzenamine, 4-bromo-2-iodo-
66416-72-6",823934,http://www.chemfish.co.jp/index.php?id=6135&project=product,Nc1ccc(Br)cc1I
2737325  1,"Ethanone, 1-(3-fluoro-4-hydroxyphenyl)-
403-14-5",2737325,http://www.chemfish.co.jp/index.php?id=6134&project=product,CC(=O)c1ccc(O)c(F)c1
22109  1,"Phenol, 2-bromo-4-nitro-
5847-59-6",22109,http://www.chemfish.co.jp/index.php?id=6133&project=product,O=[N+]([O-])c1ccc(O)c(Br)c1
24364  1,"Phenol, 4-bromo-2-nitro-
7693-52-9",24364,http://www.chemfish.co.jp/index.php?id=6132&project=product,O=[N+]([O-])c1cc(Br)ccc1O
12280  1,"Phenol, 3,5-dibromo-
626-41-5",12280,http://www.chemfish.co.jp/index.php?id=6131&project=product,Oc1cc(Br)cc(Br)c1
142257  1,"Benzene, 2-chloro-1,3-difluoro-
38361-37-4",142257,http://www.chemfish.co.jp/index.php?id=6130&project=product,Fc1cccc(F)c1Cl
78870  1,"Benzene, 2-bromo-1-methoxy-4-nitro-
5197-28-4",78870,http://www.chemfish.co.jp/index.php?id=6129&project=product,COc1ccc([N+](=O)[O-])cc1Br
81123  1,"Benzaldehyde, 5-chloro-2-nitro-
6628-86-0",81123,http://www.chemfish.co.jp/index.php?id=6128&project=product,O=Cc1cc(Cl)ccc1[N+](=O)[O-]
2781067  1,"2'-Fluoro-5'-nitroacetophenone
79110-05-7",2781067,http://www.chemfish.co.jp/index.php?id=6127&project=product,CC(=O)c1cc([N+](=O)[O-])ccc1F
75401  1,"Benzenamine, 3-fluoro-4-nitro-
2369-13-3",75401,http://www.chemfish.co.jp/index.php?id=6126&project=product,Nc1ccc([N+](=O)[O-])c(F)c1
145002  1,"Benzene, 2-fluoro-1,4-dimethoxy-
82830-49-7",145002,http://www.chemfish.co.jp/index.php?id=6125&project=product,COc1ccc(OC)c(F)c1
581109  1,"Benzenamine, 3-fluoro-2-methoxy-
437-83-2",581109,http://www.chemfish.co.jp/index.php?id=6124&project=product,COc1c(N)cccc1F
10968705  1,"PERFLUOROPOLYALKYL ETHER
60164-51-4",10968705,http://www.chemfish.co.jp/index.php?id=6122&project=product,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
95721  1,"ETHYL 5-BENZYLOXYINDOLE-2-CARBOXYLATE
37033-95-7",95721,http://www.chemfish.co.jp/index.php?id=6879&project=product,CCOC(=O)c1cc2cc(OCc3ccccc3)ccc2[nH]1
9257  1,"1,2,4-1H-Triazole
288-88-0",9257,http://www.chemfish.co.jp/index.php?id=6113&project=product,c1nc[nH]n1
54541217  1,"3-broMo-2-chloro benzaldehyde
1197050-28-4",54541217,http://www.chemfish.co.jp/index.php?id=6123&project=product,O=Cc1cccc(Br)c1Cl
98916  1,"HEXAFLUOROISOPROPYL TOSYLATE
67674-48-0",98916,http://www.chemfish.co.jp/index.php?id=6884&project=product,Cc1ccc(S(=O)(=O)OC(C(F)(F)F)C(F)(F)F)cc1
62407  1,"BROMODIFLUOROMETHANE
1511-62-2",62407,http://www.chemfish.co.jp/index.php?id=6883&project=product,FC(F)Br
2734833  1,"Bis(pentafluorophenyl) carbonate
59483-84-0",2734833,http://www.chemfish.co.jp/index.php?id=3970&project=product,O=C(Oc1c(F)c(F)c(F)c(F)c1F)Oc1c(F)c(F)c(F)c(F)c1F
13681431  1,"Tris(1,1,1,3,3,3-hexafluoroisopropyl)?phosphate
66489-68-7",13681431,http://www.chemfish.co.jp/index.php?id=6753&project=product,O=P(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
350491  1,"N,N-DIMETHYLTRIFLUOROACETAMIDE
1547-87-1",350491,http://www.chemfish.co.jp/index.php?id=6894&project=product,CN(C)C(=O)C(F)(F)F
54538262  1,"Ethyl hexafluoroisopropyl carbonate
18925-64-9",54538262,http://www.chemfish.co.jp/index.php?id=6755&project=product,CCOC(=O)OC(C(F)(F)F)C(F)(F)F
10959380  1,"Bis(1,1,1,3,3,3-hexafluoropropan-2-yl)?carbonate
18925-66-1",10959380,http://www.chemfish.co.jp/index.php?id=6756&project=product,O=C(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
21263423  1,"Bthyl(2,2,2-trifluoroethyl)carbonate
156783-96-9",21263423,http://www.chemfish.co.jp/index.php?id=6760&project=product,CCOC(=O)OCC(F)(F)F
124488446  1,"(1S,3R,6S,8R,10R,11S,12S,14S,15S,16R)-15-[(2S,5R)-5-(2-Hydroxypropan-2-yl)-2-methyloxolan-2-yl]-7,7,12,16-tetramethylpentacyclo[9.7.0.01,3.03,8.012,16]octadecane-6,10,14-triol",124488446,http://www.chemfish.co.jp/index.php?id=6351&project=product,CC(C)(O)C1CCC(C)(C2C(O)CC3(C)C4C(O)CC5C(C)(C)C(O)CCC56CC46CCC23C)O1
124488445  1,"(1S,3R,6S,8R,10R,11S,12S,14S,15R,16R)-15-[(2S,5R)-5-(2-Hydroxypropan-2-yl)-2-methyloxolan-2-yl]-7,7,12,16-tetramethylpentacyclo[9.7.0.01,3.03,8.012,16]octadecane-6,10,14-triol",124488445,http://www.chemfish.co.jp/index.php?id=6350&project=product,CC(C)(O)C1CCC(C)(C2C(O)CC3(C)C4C(O)CC5C(C)(C)C(O)CCC56CC46CCC23C)O1
97182305  1,"(1S,2S,6R,8S,12R,13R,14R,15S,17R,18R)-12,15-Dihydroxy-4,4,9,9,13,18-hexamethyl-3,5-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecan-19-one",97182305,http://www.chemfish.co.jp/index.php?id=6349&project=product,CC1C(=O)C23C4CC5C(C)(C)CCC(O)C5(C)C2C(O)CC1C3OC(C)(C)O4
11887181  1,"(1S,2R,6R,8S,12R,13R,14R,15R,17R,18R)-12,15-Dihydroxy-4,4,9,9,13,18-hexamethyl-3,5-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecan-19-one",11887181,http://www.chemfish.co.jp/index.php?id=6348&project=product,CC1C(=O)C23C4CC5C(C)(C)CCC(O)C5(C)C2C(O)CC1C3OC(C)(C)O4
11887182  1,"(1R,2R,6R,8R,12R,13R,14R,15S,17S,18S)-12,15-Dihydroxy-4,4,9,9,13,18-hexamethyl-3,5-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecan-19-one",11887182,http://www.chemfish.co.jp/index.php?id=6347&project=product,CC1C(=O)C23C4CC5C(C)(C)CCC(O)C5(C)C2C(O)CC1C3OC(C)(C)O4
11887180  1,"(1S,2R,6R,8S,12R,13R,14R,15S,17R,18R)-12,15-Dihydroxy-4,4,9,9,13,18-hexamethyl-3,5-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecan-19-one",11887180,http://www.chemfish.co.jp/index.php?id=6346&project=product,CC1C(=O)C23C4CC5C(C)(C)CCC(O)C5(C)C2C(O)CC1C3OC(C)(C)O4
97182306  1,"(1R,2R,6R,8R,12R,13R,14S,15S,17S,18S)-12,15-Dihydroxy-4,4,9,9,13,18-hexamethyl-3,5-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecan-19-one",97182306,http://www.chemfish.co.jp/index.php?id=6345&project=product,CC1C(=O)C23C4CC5C(C)(C)CCC(O)C5(C)C2C(O)CC1C3OC(C)(C)O4
11887183  1,"(1R,2R,6R,8R,12R,13R,14R,15R,17S,18S)-12,15-Dihydroxy-4,4,9,9,13,18-hexamethyl-3,5-dioxapentacyclo[12.5.0.01,6.02,17.08,13]nonadecan-19-one",11887183,http://www.chemfish.co.jp/index.php?id=6344&project=product,CC1C(=O)C23C4CC5C(C)(C)CCC(O)C5(C)C2C(O)CC1C3OC(C)(C)O4
124488677  1,"(2S,3R,5R,9R,10R,11R,13R,14S,17S)-2,3,11,14-Tetrahydroxy-10,13-dimethyl-17-[(2R,3S)-2,3,6-trihydroxy-6-methylheptan-2-yl]-2,3,4,5,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-6-one",124488677,http://www.chemfish.co.jp/index.php?id=6339&project=product,CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3C(O)CC12C
124488676  1,"(2S,3R,5R,9S,10R,11R,13R,14S,17S)-2,3,11,14-Tetrahydroxy-10,13-dimethyl-17-[(2R,3S)-2,3,6-trihydroxy-6-methylheptan-2-yl]-2,3,4,5,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-6-one",124488676,http://www.chemfish.co.jp/index.php?id=6338&project=product,CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4CC(O)C(O)CC4(C)C3C(O)CC12C
10506025  1,"Methyl (2S)-2-[(1S,2R,5S,6S,10S,12S,13S,15S,16R,18S,19S)-6-(furan-3-yl)-15,18-dihydroxy-1,5,16-trimethyl-8,14-dioxo-7,11-dioxahexacyclo[14.2.1.02,12.05,10.010,12.013,18]nonadecan-19-yl]-2-hydroxyacetate",10506025,http://www.chemfish.co.jp/index.php?id=6337&project=product,COC(=O)C(O)C1C2(C)CC3(O)C(C(=O)C2O)C24OC25CC(=O)OC(c2ccoc2)C5(C)CCC4C13C
95223222  1,"Methyl (2S)-2-[(1S,2S,5S,6S,10S,12S,13S,15S,16R,18S,19S)-6-(furan-3-yl)-15,18-dihydroxy-1,5,16-trimethyl-8,14-dioxo-7,11-dioxahexacyclo[14.2.1.02,12.05,10.010,12.013,18]nonadecan-19-yl]-2-hydroxyacetate",95223222,http://www.chemfish.co.jp/index.php?id=6336&project=product,COC(=O)C(O)C1C2(C)CC3(O)C(C(=O)C2O)C24OC25CC(=O)OC(c2ccoc2)C5(C)CCC4C13C
97354626  1,"(1S,3R,6R,7S,8S,10R,11S,12R,13S,16S,17R)-8-Tert-butyl-6,12,17-trihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.01,11.03,7.07,11.013,17]nonadecane-5,15,18-trione",97354626,http://www.chemfish.co.jp/index.php?id=6319&project=product,CC1C(=O)OC2C(O)C34C5CC(C(C)(C)C)C36C(OC(=O)C6O)OC4(C(=O)O5)C12O
124524085  1,"(1R,3R,6R,7S,8S,10R,11R,12R,13R,16S,17R)-8-Tert-butyl-6,12,17-trihydroxy-16-methyl-2,4,14,19-tetraoxahexacyclo[8.7.2.01,11.03,7.07,11.013,17]nonadecane-5,15,18-trione",124524085,http://www.chemfish.co.jp/index.php?id=6318&project=product,CC1C(=O)OC2C(O)C34C5CC(C(C)(C)C)C36C(OC(=O)C6O)OC4(C(=O)O5)C12O
6324617  1,"Ginkgolide-B
15291-77-7",6324617,http://www.chemfish.co.jp/index.php?id=6317&project=product,CC1C(=O)OC2C(O)C34C5CC(C(C)(C)C)C36C(OC(=O)C6O)OC4(C(=O)O5)C12O
61506185  1,"2-[4,6-Dimethyl-2-oxo-1-(1,3-thiazol-2-ylmethyl)pyrimidin-5-yl]acetic acid",61506185,http://www.chemfish.co.jp/index.php?id=6316&project=product,Cc1nc(=O)n(Cc2nccs2)c(C)c1CC(=O)O
16724460  1,"Walsuronoid B
942582-15-2",16724460,http://www.chemfish.co.jp/index.php?id=6315&project=product,CC1(C)C(=O)C=CC2(C)C1=C(O)C(=O)C1(C)C2C(O)CC2=C(c3ccoc3)CC(O)C21C
4692208  1,"1,2,3,4,5,6-hexakis(methoxymethyl)benzene",4692208,http://www.chemfish.co.jp/index.php?id=6314&project=product,COCc1c(COC)c(COC)c(COC)c(COC)c1COC
15200439  1,"6-Oxodocetaxel
167074-97-7",15200439,http://www.chemfish.co.jp/index.php?id=6313&project=product,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C
9940648  1,"4-Epi-6-Oxodocetaxel
162784-72-7",9940648,http://www.chemfish.co.jp/index.php?id=6312&project=product,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C
53318291  1,"(S)-5-Amino-4,11-diethyl-4-hydroxy-1,12-dihydro-14H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H)-dione
1258494-60-8",53318291,http://www.chemfish.co.jp/index.php?id=6311&project=product,CCc1c2c(nc3ccccc13)-c1c(N)c3c(c(=O)n1C2)COC(=O)C3(O)CC
62847400  1,"2-[4,6-Dimethyl-1-[(5-methylpyrazin-2-yl)methyl]-2-oxopyrimidin-5-yl]acetic acid",62847400,http://www.chemfish.co.jp/index.php?id=6308&project=product,Cc1cnc(Cn2c(C)c(CC(=O)O)c(C)nc2=O)cn1
61506186  1,"3-[4,6-Dimethyl-2-oxo-1-(1,3-thiazol-2-ylmethyl)pyrimidin-5-yl]propanoic acid",61506186,http://www.chemfish.co.jp/index.php?id=6307&project=product,Cc1nc(=O)n(Cc2nccs2)c(C)c1CCC(=O)O
95790034  1,"[(1S,2R,4S,16S,17S,18S,20R)-2-Hydroxy-13,20-dimethoxy-4,7,17,22,22-pentamethyl-11-oxo-5,10,21,23-tetraoxahexacyclo[18.2.1.01,17.04,16.06,14.08,12]tricosa-6(14),7,12-trien-18-yl] acetate",95790034,http://www.chemfish.co.jp/index.php?id=6298&project=product,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C34OC(OC)(CC(OC(C)=O)C3(C)C1C2)OC4(C)C
95790033  1,"[(1S,2R,4R,16S,17S,18S,20R)-2-Hydroxy-13,20-dimethoxy-4,7,17,22,22-pentamethyl-11-oxo-5,10,21,23-tetraoxahexacyclo[18.2.1.01,17.04,16.06,14.08,12]tricosa-6(14),7,12-trien-18-yl] acetate",95790033,http://www.chemfish.co.jp/index.php?id=6297&project=product,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C34OC(OC)(CC(OC(C)=O)C3(C)C1C2)OC4(C)C
95790032  1,"[(1S,2S,4S,16S,17S,18S,20R)-2-Hydroxy-13,20-dimethoxy-4,7,17,22,22-pentamethyl-11-oxo-5,10,21,23-tetraoxahexacyclo[18.2.1.01,17.04,16.06,14.08,12]tricosa-6(14),7,12-trien-18-yl] acetate",95790032,http://www.chemfish.co.jp/index.php?id=6296&project=product,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C34OC(OC)(CC(OC(C)=O)C3(C)C1C2)OC4(C)C
95790031  1,"[(1S,2S,4R,16S,17S,18S,20R)-2-Hydroxy-13,20-dimethoxy-4,7,17,22,22-pentamethyl-11-oxo-5,10,21,23-tetraoxahexacyclo[18.2.1.01,17.04,16.06,14.08,12]tricosa-6(14),7,12-trien-18-yl] acetate",95790031,http://www.chemfish.co.jp/index.php?id=6295&project=product,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C34OC(OC)(CC(OC(C)=O)C3(C)C1C2)OC4(C)C
51693016  1,"(1R,13S,14R,20S,21S)-20,21-Dihydroxy-10-methoxy-1,4,14,19,19-pentamethyl-2,7,18-trioxapentacyclo[11.9.0.03,11.05,9.014,20]docosa-3(11),4,9-triene-8,17-dione",51693016,http://www.chemfish.co.jp/index.php?id=6282&project=product,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C3(O)C(C)(C)OC(=O)CCC3(C)C1C2
51693018  1,"(1S,13S,14R,20S,21S)-20,21-Dihydroxy-10-methoxy-1,4,14,19,19-pentamethyl-2,7,18-trioxapentacyclo[11.9.0.03,11.05,9.014,20]docosa-3(11),4,9-triene-8,17-dione",51693018,http://www.chemfish.co.jp/index.php?id=6280&project=product,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C3(O)C(C)(C)OC(=O)CCC3(C)C1C2
51693019  1,"(1R,13S,14R,20S,21R)-20,21-Dihydroxy-10-methoxy-1,4,14,19,19-pentamethyl-2,7,18-trioxapentacyclo[11.9.0.03,11.05,9.014,20]docosa-3(11),4,9-triene-8,17-dione",51693019,http://www.chemfish.co.jp/index.php?id=6279&project=product,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C3(O)C(C)(C)OC(=O)CCC3(C)C1C2
51693020  1,"(1S,13S,14R,20S,21R)-20,21-Dihydroxy-10-methoxy-1,4,14,19,19-pentamethyl-2,7,18-trioxapentacyclo[11.9.0.03,11.05,9.014,20]docosa-3(11),4,9-triene-8,17-dione",51693020,http://www.chemfish.co.jp/index.php?id=6278&project=product,COc1c2c(c(C)c3c1C(=O)OC3)OC1(C)CC(O)C3(O)C(C)(C)OC(=O)CCC3(C)C1C2
127584  1,"7-Ethylcamptothecin
78287-27-1",127584,http://www.chemfish.co.jp/index.php?id=6277&project=product,CCc1c2c(nc3ccccc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
29979715  1,"7-Ethyl camptothecin
1217633-65-2",29979715,http://www.chemfish.co.jp/index.php?id=6276&project=product,CCc1c2c(nc3ccccc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
124485147  1,"[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1S,4aR,6aS,6aS,6bR,8R,8aR,10R,11R,12aR,14bS)-1,8,10,11-tetrahydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate
(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1S,4aR,6aS,6aS,6bR,8R,8aR,10R,11R,12aR,14bS)-1,8,10,11-tetrahydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",124485147,http://www.chemfish.co.jp/index.php?id=6275&project=product,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5C(O)CC43C)C2C1O
124485148  1,"[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1S,4aR,6aR,6aS,6bR,8R,8aR,10R,11R,12aR,14bS)-1,8,10,11-tetrahydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",124485148,http://www.chemfish.co.jp/index.php?id=6274&project=product,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5C(O)CC43C)C2C1O
124485149  1,"[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1S,4aR,6aS,6aS,6bR,8R,8aS,10R,11R,12aR,14bS)-1,8,10,11-tetrahydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",124485149,http://www.chemfish.co.jp/index.php?id=6273&project=product,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5C(O)CC43C)C2C1O
124485150  1,"[(2S,3R,4S,5S,6R)-3,4,5-Trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1S,4aR,6aR,6aS,6bR,8R,8aS,10R,11R,12aR,14bS)-1,8,10,11-tetrahydroxy-2,2,6a,6b,9,9,12a-heptamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",124485150,http://www.chemfish.co.jp/index.php?id=6272&project=product,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5C(O)CC43C)C2C1O
25564461  1,"(2R,3S,5S,9S,10R,13R,14S,17R)-2,3,5,14-Tetrahydroxy-10,13-dimethyl-17-[(2R,3R)-2,3,6-trihydroxy-6-methylheptan-2-yl]-1,2,3,4,9,11,12,15,16,17-decahydrocyclopenta[a]phenanthren-6-one",25564461,http://www.chemfish.co.jp/index.php?id=6271&project=product,CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4(O)CC(O)C(O)CC4(C)C3CCC12C
25564469  1,"(2R,3S,5S,9S,10R,13R,14S,17S)-2,3,5,14-Tetrahydroxy-10,13-dimethyl-17-[(2R,3R)-2,3,6-trihydroxy-6-methylheptan-2-yl]-1,2,3,4,9,11,12,15,16,17-decahydrocyclopenta[a]phenanthren-6-one",25564469,http://www.chemfish.co.jp/index.php?id=6270&project=product,CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4(O)CC(O)C(O)CC4(C)C3CCC12C
40884438  1,Rapisterone D,40884438,http://www.chemfish.co.jp/index.php?id=6269&project=product,CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4(O)CC(O)C(O)CC4(C)C3CCC12C
441833  1,"Polypodine b
18069-14-2",441833,http://www.chemfish.co.jp/index.php?id=6268&project=product,CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4(O)CC(O)C(O)CC4(C)C3CCC12C
40884439  1,"(2R,3S,5S,9R,10R,13R,14S,17R)-2,3,5,14-Tetrahydroxy-10,13-dimethyl-17-[(2R,3R)-2,3,6-trihydroxy-6-methylheptan-2-yl]-1,2,3,4,9,11,12,15,16,17-decahydrocyclopenta[a]phenanthren-6-one",40884439,http://www.chemfish.co.jp/index.php?id=6267&project=product,CC(C)(O)CCC(O)C(C)(O)C1CCC2(O)C3=CC(=O)C4(O)CC(O)C(O)CC4(C)C3CCC12C
5321416  1,"7-Epi-Baccatin III
31077-81-3",5321416,http://www.chemfish.co.jp/index.php?id=6266&project=product,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(O)C(C)=C1C2(C)C
11886864  1,"[(1S,2S,3S,4S,7R,9S,10S,12R,15S)-4,12-Diacetyloxy-1,9,15-trihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate",11886864,http://www.chemfish.co.jp/index.php?id=6265&project=product,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(O)C(C)=C1C2(C)C
65366  1,"Baccatin III
27548-93-2",65366,http://www.chemfish.co.jp/index.php?id=6264&project=product,CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(O)C(C)=C1C2(C)C
